#Probeset  	10h_control	      10h	      14h	      18h	      24h
221586_s_at	    6.76693	 5.404609	 5.925282	 5.719895	 5.751909
221588_x_at	   4.989604	 4.554272	 4.901309	 4.292401	 5.328882
221590_s_at	   4.013343	 4.121569	 4.294652	 4.069839	 4.112604
221669_s_at	     6.9424	 5.612501	 6.023926	 6.358028	 5.482778
221719_s_at	   4.579828	 5.162755	 5.332887	 5.129762	  5.75642
221721_s_at	   4.169672	 4.411458	 5.111109	 4.095696	 5.145318
221722_x_at	   4.601165	 5.364778	 5.367704	 4.964971	 5.916632
221726_at  	  10.092461	 9.706132	 9.815296	 9.732527	 9.142965
221737_at  	   5.259393	 5.610908	 5.381783	 5.290059	 5.646004
221761_at  	   8.085093	 6.425963	 6.938143	 7.254096	 5.757423
221770_at  	   8.008516	 6.867691	 6.720192	 6.589991	 6.250299
221775_x_at	  12.111857	12.041838	12.247887	12.070165	12.009706
221798_x_at	  13.237291	13.281076	13.193286	13.252836	13.244478
221873_at  	   6.019354	 5.486834	 5.086811	 5.487588	 4.715508
221928_at  	   5.512403	  6.44831	 6.251956	 5.645874	 7.232181
222021_x_at	   8.685124	 8.873604	 8.819886	 8.609314	   8.1194
222035_s_at	   8.763574	  6.89264	 7.545736	 7.446439	  5.63836
222036_s_at	   9.822561	  7.59634	 8.127109	 8.102005	 7.017551
222037_at  	   8.122806	 7.071729	 7.460267	 7.632057	 7.300759
222078_at  	   5.198771	 5.590589	 5.268068	 5.472571	 5.823982
222088_s_at	   6.623314	 6.514127	 6.352777	  6.02828	 6.397802
222104_x_at	    8.00499	 8.251967	 7.966593	 8.015656	 7.741343
222107_x_at	   6.212921	 6.817279	 7.112732	 6.223009	 7.357428
222286_at  	   3.823994	 3.804293	  3.65824	 3.814268	 3.501542
222343_at  	   5.116054	 5.335215	 5.546124	 5.079655	 6.059923
31835_at   	   5.092578	 5.468521	 5.433089	 5.292327	 5.709676
32541_at   	   3.419086	 4.521882	 3.699134	  3.71221	 3.837411
32723_at   	     5.4679	 4.722058	 5.151219	 5.093306	 4.676134
32836_at   	   7.853008	  8.29184	 8.112662	 8.156177	 7.941169
32837_at   	   9.524274	 9.512611	 9.514721	 9.517943	 9.336925
33132_at   	   7.789785	 7.956179	 8.148448	  8.31443	 8.074275
34225_at   	   7.344332	 6.418287	 6.935718	  6.78315	 6.804499
35201_at   	  10.061688	10.144348	10.069165	10.243439	 9.763443
35671_at   	   8.396392	  8.31421	 8.511041	 8.516516	   8.7416
37462_i_at 	    7.40764	 7.185557	 7.149703	  7.31252	 6.796703
40465_at   	   7.574984	 6.534018	 6.858768	 6.760118	 6.633045
43427_at   	   5.305617	 5.479529	 5.441276	 5.228118	 6.420738
49452_at   	    5.49761	 6.029141	 5.611945	 5.680882	 6.035739
